Name,2MASS Name,SDSS Name,PanSTARRS Name,Other Name,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,radius,e_radius,log_g,e_log_g,Teff,e_Teff,Mass,e_Mass,LACEwING,D_Trig,e_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,PanSTARRS_y,e_PanSTARRS_y,J,e_J,H,e_H,K,e_K,MKO_H,e_MKO_H,InDwarfArchive,L_T Transition,Priority,Declination,Visible,Ltflag,Jflag,Ranking,Star,Min,Max,R,Source,Filename,Filename2,WISE Name,Peculiarities,Member,Quality,LACEwING probability,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,Young,Gaia_G,HRV,e_HRV,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Comments,Polarization,Polflag,e_Gaia_G,MKO_J,e_MKO_J,IRAC3p6,e_IRAC3p6,IRAC4p5,e_IRAC4p5,e_WISE_W4,MKO_K,e_MKO_K,Instrument,MKO_Y,e_MKO_Y,Q/I,e_Q/I,U/I,e_U/I,Variable,e_Variable,Variable%,Variable_period,Varflag,IRAC5p8,e_IRAC5p8,IRAC8,e_IRAC8,e_Variable_period,Sp Note,MKO_L,e_MKO_L
J0208+2542,02081833+2542533,,020818.710+254252.881,2MASSW J0208183+254253,02 08 18.332,+25 42 53.31,32.076382,25.714808,L1,NIR,,,5.5,0.5,2100,200,,,(None),,,363.3,9.4,-22.4,11,,,,,20.843,0.032,18.361,0.005,16.919,0.003,15.95,0.008,13.989,0.026,13.107,0.03,12.588,0.027,,,X,,,D,X,,1,1,0208+2542,0.935314,2.417665,1814.8,IRTF,L1_2MASSJ0208+2542.txt,2mass0208.dat,020818.66+254253.0,,,,,12.183,0.023,11.952,0.025,11.218,0.218,,,,,,,,,,,,,,,,,,,,,,,SpeX,,,,,,,,,,,,,,,,,,,
J0208+2737,02082363+2737400,,020823.636+273740.087,2MASSW J0208236+273740,02 08 23.636,+27 37 40.09,32.098484,27.627802,L5,NIR,,,5,0.5,1600,100,,,(None),,,206.8,6.8,-100.7,7.2,,,24.971,,21.432,0.019,20.075,,18.607,,17.957,,15.714,0.061,14.56,0.06,13.872,0.051,,,X,NIR,,D,X,,0,,0208236+273740,0.645857,2.5532,243.2,SpeX,spex-prism_2MASSWJ0208236+273740_20080907_BUR10A.txt,,020823.83+273738.8,,,,,13.289,0.024,12.987,0.035,12.176,0.333,,,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J0208+2500,02085499+2500488,020854.98+250049.0,020854.976+250049.144,2MASSW J0208549+250048,02 08 54.999,+25 00 48.82,32.229164,25.013561,L5,Opt,,,,,,,,,(None),,,-15.3,6.7,24.6,7.8,24.387,0.729,25.006,0.435,22.131,0.27,21.187,0.039,19.293,0.016,18.291,0.02,16.206,0.093,14.974,0.08,14.405,0.069,,,X,Opt,,D,,,0,,,,,,,,,J020854.98+250049.0,,,,,13.693,0.026,13.284,0.033,11.397,0.349,8.718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0209+1339,,,020943.707+133931.739,ULAS J020944.30+133924.7,02 09 44.30,+13 39 24.2,32.434583,13.656735,T5.5,NIR,,,,,,,,,(None),,,,,,,,,,,17.161,0.004,,,,,18.92,0.194,,,,,,,18.64,0.03,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.35,0.03,,,,,,,,,19.8,0.12,,,,,,,,,,,,,,,,,
J0210+4008,,,021010.215+400829.745,WISE J021010.25+400829.6,02 10 10.246,+40 08 29.55,32.5426934,40.1415427,T4.5,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.795,0.015,19.104,0.016,16.77,0.19,16.06,0.18,15.88,,,,,NIR,1,D,,1,0,1,,,,,,,,J021010.24+400829.5,,,,,16.335,0.063,14.726,0.053,12.503,,8.558,,,,,,,,,2MASS JHK Photometry from the 2MASS reject table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J02103857-3015313,02103857-3015313,,021038.662-301531.839,02103857-3015313,02 10 38.688,-30 15 32.02,32.6612016,-30.2588936,L0 (gamma),Opt,1.53,0.09,4.16,0.22,1610,207,13.03,4.31,Tuc-Hor,,,145,36,-40,7,,,,,21.756,0.179,19.636,0.017,18.126,0.012,17.076,0.009,15.066,0.048,14.161,0.045,13.5,0.043,,,,,1,W,X,,0,,02103857-3015313,0.88908708,2.4674072,1129.4,Montreal,J02103857-3015313.txt,,J021038.65-301531.8,"Red, Low-gravity (Young?)",Tuc-Hor,Likely Member,79,13.03,0.025,12.679,0.025,11.934,0.29,9.061,Tuc-Hor,19.882,7.82,0.274,,,,,,,,,,,,,,,,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
2MASS J02110979-1427349,02110979-1427349,,021109.771-142737.656,,02 11 09.796,-14 27 34.99,32.790815,-14.459719,L2,NIR,,,,,,,,,(None),,,-18.4,9.1,-203,8.1,,,,,22.025,0.079,19.888,0.008,18.418,0.009,17.462,0.014,15.439,0.053,14.648,0.067,14.048,0.05,,,,,,D,,,0,,,,,,,,,J021109.77-142737.4,,,,,13.62,0.026,13.295,0.028,12.887,0.529,8.912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0211+1410,02112827+1410039,021128.23+141003.4,021128.208+141003.335,,02 11 28.280,+14 10 03.95,32.867833,14.167764,L1,Opt,,,,,,,,,(None),,,-86.7,17.2,-35.3,18.1,25.358,0.894,25.119,0.676,22.781,0.285,20.44,0.029,19.037,0.018,18.09,0.01,16.128,0.078,15.423,0.09,15.009,0.123,,,X,,,D,,,0,,,,,,,,,J021128.21+141003.3,Galactic Extinction > 0.2 mag,,,,14.582,0.031,14.378,0.05,11.876,0.342,8.869,,,-51.4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J021217.17-103630.2,02121719-1036304,021217.17-103630.2,021217.154-103630.069,,02 12 17.198,-10 36 30.41,33.071658,-10.608447,,,,,,,2599,,,,(None),,,-54,11,26,8,23.739,0.95,20.602,0.02,19.173,0.012,16.299,0.003,15.004,0.003,14.321,0.006,12.756,0.024,12.201,0.027,11.827,0.028,,,,,,D,,,1,,,,,,,,,J021217.16-103630.0,,,,,11.582,0.023,11.36,0.021,11.194,0.105,8.582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0212+2218,,021248.53+221821.9,021248.557+221822.068,,02 12 48.545,+22 18 22.12,33.2022721,22.3061453,L0,Opt,,,,,,,,,(None),,,,,,,24.467,0.969,25.099,0.608,24.241,0.568,21.213,0.081,19.891,0.013,18.936,0.03,,,,,,,,,X,,,D,,,0,,,,,,,,,J021248.54+221822.1,,,,,15.393,0.043,15.198,0.109,12.196,,8.809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J0213+3648 C,J02132062+3648506,,021319.857+364837.991,,02 13 19.82,+36 48 37.5,33.332583,36.8104167,T3,Opt,,,,,,,,,(None),22.22,4.93,24,10,65,11,,,,,,,21.136,0.143,19.216,0.028,17.573,0.01,15.297,0.053,14.765,0.062,14.77,0.115,14.887,0.021,,Opt,,D,,,0,,,,,,,,,,,,,,14.204,0.123,13.43,0.128,,,,,,,,,,,,16.4” from close M dwarf binary,,,,15.158,0.013,,,,,,14.93,0.02,,16.279,0.024,,,,,,,,,,,,,,,,,
J0213+4444,02132880+4444453,,021328.738+444443.416,2MASSI J0213288+444445,02 13 28.804,+44 44 45.36,33.370015,44.745934,L1.5,Opt,,,,,,,,,(None),,,-44,62.16,-164.21,60.16,,,,,20.244,0.031,17.826,0.007,16.338,0.001,15.375,0.006,13.494,0.025,12.757,0.024,12.213,0.023,,,X,,,D,X,,1,1,,,,,,,,J021328.74+444443.6,,,,,11.872,0.023,11.614,0.021,11.258,0.166,8.718,,,-23.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UL0216,,021643.00+004006.2,021642.932+004005.180,ULAS J021642.97+004005.6,02 16 42.952,+00 40 05.21,34.178967,0.6681149,sdL4,,,,5.25,,2000,,,,(None),,,-61,8,-98,8,24.74,1.017,23.999,0.445,24.039,0.64,21.765,0.115,20.304,0.021,19.252,0.018,,,,,,,16.96,0.04,,,,D,,,0,,,,,,,,,J021642.95+004005.2,,,,,15.963,0.052,15.746,0.133,12.701,,9.216,,,-90,14,,,,,,,,,17.3,0.03,,,,,,16.51,0.04,,18.41,0.05,,,,,,,,,,,,,,,,,
J0218-3133,02182913-3133230,,021828.947-313324.951,2MASSI J0218291-313322,02 18 29.130,-31 33 23.08,34.621376,-31.55641,L3,Opt,,,,,,,,,(None),,,-171.4,8.2,-112.9,9.2,,,,,,,19.348,0.014,,,,,14.728,0.04,13.808,0.037,13.154,0.035,,,X,,,W,X,,0,,,,,,,,,J021828.98-313324.4,,,,,12.602,0.024,12.291,0.023,11.914,0.228,9.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0219-1938,02192807-1938416,,021928.230-193843.224,SSSPM J0219-1939,02 19 28.075,-19 38 41.63,34.86698,-19.644896,L1,Opt,,,,,,,,,(None),26.88,2.96,194.13,5,-172.96,5,,,,,21.091,0.075,18.486,0.004,16.98,0.004,15.997,0.005,14.11,0.027,13.339,0.028,12.91,0.034,,,X,,,D,X,,0,,,,,,,,,J021928.20-193842.9,,,,,12.57,0.024,12.322,0.024,12.486,0.371,9.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J022045.20-550622.7,02204466-5506245,,,,02 20 45.202,-55 06 22.74,35.1883422,-55.1063153,L0.4,NIR,,,,,,,,,(None),,,421.7,10.3,164.9,9.5,,,,,,,,,,,,,16.032,0.093,15.351,0.101,14.852,0.116,,,,,,,,,0,,,,,,,,,J022045.20-550622.7,,,,,14.505,0.026,14.223,0.033,12.853,,8.868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0221+3842,,,022106.024+384204.055,WISEPA J022105.94+384202.9,02 21 05.995,+38 42 03.01,35.2749803,38.7008374,T6.5,NIR,,,,,,,,,(None),,,,,,,,,,,21.278,0.098,,,,,,,17.59,0.12,17.45,0.15,16.95,0.17,,,X,NIR,1,D,,1,0,1,,,,,,,,J022105.99+384203.0,,,,,16.73,0.081,14.812,0.058,12.073,,9.125,,,,,,,,,,,,,,,15.931,0.029,14.863,0.021,,,,,,,,,,,,,,,,,,,,,,,
2MASS J02212859-6831400,02212859-6831400,,,02212859-6831400,02 21 28.598,-68 31 40.09,35.369158,-68.527802,M8 (beta),Opt,,,,,,,,,Tuc-Hor,39.37,5.58,53.9,4.4,13.7,4.5,,,,,,,,,,,,,13.965,0.033,13.275,0.032,12.806,0.037,,,,,1,,X,,1,,,,,,,,,J022128.72-683140.0,"Red, Low-gravity (Young?)",,,29,12.49,0.024,12.2,0.022,11.462,0.112,9.361,Tuc-Hor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J02215494-5412054,02215494-5412054,,,02215494-5412054,02 21 55.159,-54 12 05.79,35.479831,-54.2016097,M9 (beta),Opt,,,,,,,,,Tuc-Hor,,,136,10,-10,17,,,,,,,,,,,,,13.902,0.033,13.221,0.032,12.665,0.032,,,,,1,,X,,1,,,,,,,,,J022155.10-541205.7,"Red, Low-gravity (Young?)",Tuc-Hor,Likely Member,91,12.343,0.023,11.973,0.022,11.359,0.134,9.285,Tuc-Hor,18.522,10.18,0.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0222-0024,,,022200.776+002412.669,ULAS J022200.43-002410.5,02 22 00.43,-00 24 10.1,35.501792,-0.402807,T5,NIR,,,,,,,,,(None),,,,,,,,,21.663,0.183,21.471,0.122,,,,,,,,,,,,,19.02,0.02,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.71,0.02,,,,,,19.18,0.03,,19.87,0.03,,,,,,,,,,,,,,,,,
J0223-2932,,,022322.249-293250.898,WISEPC J022322.39-293258.1,02 23 22.381,-29 32 57.33,35.8432548,-29.5492588,T7.5,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,17.382,0.051,16.544,0.041,17.341,0.153,16.85,0.163,16.94,,17.304,0.114,X,,,W,,,0,,,,,,,,,J022322.38-293257.3,,,,,16.87,0.083,14.021,0.035,12.647,0.393,9.428,,,,,,,,,,,,,17.1,0.05,15.81,0.028,14.015,0.019,,,,,,,,,,,,,,,,,,,,,,,
PSO J035.8-15,,,022328.413-151137.708,,02 23 28.460,-15 11 38.29,35.868583,-15.1939703,M7.1:,NIR,,,,,,,,,(None),54.6,14,135.1,1.9,-137.7,2.4,,,20.857,0.023,19.573,0.012,17.008,0.003,15.851,0.004,15.246,0.007,14,0.02,13.3,0.03,13,0.02,13.32,0.01,,,,D,,,0,,,,,,,,,J022328.41-151137.6,,Field,,,12.685,0.024,12.458,0.024,12.249,0.308,9.422,Field,17.474,,,,,,,,,,,13.75,0.01,,,,,,12.92,0.01,,,,,,,,,,,,,,,,,,,,
J0223+5240,02233667+5240066,,022336.561+524005.746,HIP 11161 B,02 23 36.671,+52 40 06.65,35.902794,52.668514,L1.5,NIR,,,,,,,,,(None),69.3,3.84,-76.3,15.8,-80,31.6,,,,,,,20.613,0.037,19.382,0.032,18.344,0.061,16.636,0.161,15.77,0.173,15.392,0.195,,,,,,D,,,0,,,,,,,,,J022336.58+524005.9,Companion,,,,14.861,0.031,14.816,0.054,12.521,,8.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J02235464-5815067,02235464-5815067,,,02235464-5815067,02 23 54.854,-58 15 06.88,35.9785583,-58.2519106,L0 (gamma),Opt,,,,,1879,98,15.91,3.12,Tuc-Hor,36.5,3.46,98.6,0.8,-18.2,0.9,,,,,,,,,,,,,15.07,0.05,14.003,0.037,13.417,0.043,,,X,,1,,X,,0,,,,,,,,,J022354.79-581506.9,Young,Tuc-Hor,Likely Member,96,12.837,0.023,12.461,0.022,11.506,0.176,9.205,Tuc-Hor,19.989,10.36,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0224-7633,02241193-7633201,,,DENIS J0224120-763320,02 24 12.262,-76 33 19.90,36.0510933,-76.5555274,L0,Opt,,,,,,,,,(None),,,53.5,1.9,20.7,10,,,,,,,,,,,,,15.143,0.041,14.306,0.04,13.91,0.055,,,X,,,,X,,0,,,,,,,,,J022412.16-763319.9,,,,,13.507,0.024,13.206,0.027,12.487,0.318,9.227,,19.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0224+2537,02243670+2537042,022436.65+253704.8,022436.634+253705.032,2MASSI J0224367+253704,02 24 36.700,+25 37 04.29,36.152917,25.617857,L2,Opt,,,,,,,,,(None),,,-65.1,11.4,58.5,12.6,25.391,0.765,24.459,0.469,22.008,0.168,20.759,0.027,19.476,0.026,18.528,0.02,16.584,0.104,15.411,0.073,14.694,0.082,,,X,,,D,,,0,,,,,,,,,J022436.64+253704.9,,,,,14.384,0.027,14.114,0.042,12.243,,8.984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0225-5837,02251947-5837295,,,,02 25 19.672,-58 37 29.83,36.3319652,-58.6249523,M9 (beta),Opt,,,,,,,,,Tuc-Hor,,,85,10,-30,18,,,,,,,,,,,,,13.738,0.028,13.058,0.026,12.557,0.027,,,,,1,,X,,1,,,,,,,,,J022519.61-583729.8,"Red, Low-gravity (Young?)",,,61,12.262,0.023,11.958,0.021,11.888,0.205,9.186,Tuc-Hor,18.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0226+0702,,,022603.789+070223.678,ULAS J022603.18+070231.4,02 26 03.227,+07 02 31.41,36.5134465,7.0420575,T7,NIR,,,,,,,,,(None),,,,,,,,,,,21.831,0.012,21.773,0.038,21.163,0.157,19.233,0.176,,,,,,,18.82,0.03,,,,D,,,0,,,,,,,,,J022603.22+070231.4,,,,,17.859,0.221,16.126,0.181,12.17,,9.163,,,,,,,,,,,,,18.52,0.04,,,,,,18.79,0.06,,19.62,0.05,,,,,,,,,,,,,,,,,
WISEA J022609.16-161000.4,02260907-1609591,,022609.165-161000.472,,02 26 09.080,-16 09 59.13,36.537833,-16.166424,L7,NIR,,,,,,,,,AB Dor,,,100.3,11.5,-108.5,9.9,,,,,,,21.497,0.184,20.785,0.039,19.8,0.094,17.334,0.266,15.75,0.143,14.581,0.093,,,,NIR,,D,,,0,,,,,,,,,J022609.16-161000.4,Red,AB Dor,,36,13.745,0.025,13.14,0.027,11.808,0.185,8.822,AB Dor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0226-0211,,,022624.403-021146.841,WISEPA J022623.98-021142.8,02 26 23.994,-02 11 42.72,36.5999736,-2.1951994,T7,NIR,,,,,,,,,(None),,,,,,,,,,,21.853,0.114,21.52,0.042,21.183,0.018,,,,,,,,,,,X,,,D,,,0,,,,,,,,,J022623.99-021142.7,,,,,17.413,0.131,14.518,0.047,12.603,,9.131,,,,,,,,,,,,,,,16.599,0.04,14.675,0.021,,,,,,,,,,,,,,,,,,,,,,,
J0226+0051,,,022637.553+005154.830,IfA 0230-Z1,02 26 37.60,+00 51 54.7,36.656667,0.865194,T3,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,,,20.291,0.153,,,,,,,,,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0226-0728,,,022639.175-072853.471,CFBDS J022638.96-072831.8,02 26 38.96,-07 28 31.8,36.662333,-7.4755,T6.5,NIR,,,,,,,,,(None),,,,,,,,,21.593,0.167,21.703,0.187,21.672,0.109,21.236,0.197,,,,,,,,,,,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0226-0625,02264612-0625229,,022644.681-062522.503,CFBDS J022644.65-062522.0,02 26 44.65,-06 25 22.0,36.686042,-6.422778,T3,NIR,,,,,,,,,(None),,,32.02,40.04,-33.02,40.03,,,,,,,,,21.321,0.155,19.784,0.2,,,,,,,,,X,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02265658-5327032,02265658-5327032,,,,02 26 56.753,-53 27 03.45,36.7364708,-53.450957,L0 (delta),NIR,1.59,0.02,4.5,0.5,1700,100,13.7,0.3,Tuc-Hor,,,93.6,5.3,-2.8,10.7,,,,,,,,,,,,,15.403,0.046,14.346,0.05,13.752,0.046,,,,,1,,X,,0,,02103857-3015313,0.88908708,2.4674072,1129.4,Montreal,J02103857-3015313.txt,,J022656.71-532703.3,"Red, Low-gravity (Young?)",THA,99.9,70,13.243,0.024,12.826,0.024,11.594,0.169,8.726,Tuc-Hor,19.914,,,,,,,,,,,,,,,,,0.352,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
J0227-1624,02271036-1624479,,022710.679-162451.199,,02 27 10.361,-16 24 47.95,36.793172,-16.413319,L1,Opt,,,,,,,,,(None),,,415.6,14.9,-300.5,14.1,,,22.044,0.154,20.156,0.032,17.934,0.004,16.504,0.003,15.558,0.004,13.573,0.023,12.63,0.024,12.143,0.03,,,X,,,D,X,,1,1,02271036-1624479,0.647559,2.55249,243.2,SpeX,spex-prism_2MASSJ02271036-1624479_20070916_BUR08B.txt,,022710.63-162450.8,,,,,11.772,0.024,11.557,0.021,11.21,0.089,,,,48.5,0.2,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J022721.93+235654.3,02272166+2356559,022721.82+235654.9,022721.989+235654.037,,02 27 21.936,+23 56 54.31,36.8413993,23.9484203,L9.4,NIR,,,,,,,,,(None),,,310,15.2,-139,13.6,25.426,0.781,24.765,0.546,24.327,0.561,22.713,0.257,20.049,0.055,18.826,0.044,16.663,0.135,15.647,0.105,15.27,0.155,,,,NIR,,D,,,0,,,,,,,,,J022721.93+235654.3,,,,,14.304,0.027,13.69,0.035,12.446,0.371,9.067,,,,,,,,,,,,,,,,,,,0.441,,,,,,,,,,,,,,,,,,,,,,
J0227-0055,,022723.75-005518.7,022723.779+005518.791,,02 27 23.791,-00 55 18.83,36.84913,-0.9218962,L0,Opt,,,,,,,,,(None),,,,,,,22.201,0.863,25.802,2.906,21.348,0.351,20.949,0.023,19.608,0.01,18.824,0.022,,,,,,,,,X,,,D,,,0,,,,,,,,,J022723.79-005518.8,,,,,15.883,0.047,15.96,0.154,12.483,,9.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0228+2537,02281101+2537380,022811.13+253737.9,022811.240+253737.729,2MASSW J0228110+253738,02 28 11.013,+25 37 38.01,37.045888,25.627226,L0,NIR,,,5.5,0.5,2100,400,,,Hyades,,,256.53,14.35,-13.89,17.03,25.601,0.759,21.631,0.179,20.569,0.022,18.17,0.006,16.712,0.002,15.757,0.006,13.839,0.027,12.993,0.024,12.471,0.025,,,X,,,D,X,,1,3,0228110+253738,0.647169,2.55198,243.1,SpeX,spex-prism_2MASSWJ0228110+253738_20070916_BUR08B.txt,,022811.21+253737.8,,,,22,12.116,0.024,11.887,0.023,11.638,0.195,,Hyades,,23,0.2,J,0.35,0.14,,,P,2,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J0228+0218,02282694+0218331,022826.99+021832.7,022827.010+021832.620,,02 28 26.948,+02 18 33.14,37.112282,2.309205,M5 (gamma),NIR,,,,,,,,,(None),,,,,,,18.297,0.016,18.097,0.008,16.851,0.004,14.885,0.003,13.978,0.007,13.49,0.003,12.124,0.027,11.54,0.024,11.233,0.021,,,,,,D,,,1,,,,,,,,,J022827.00+021832.6,VL-G,THA(68);BPMG(29),89.9,,11.035,0.023,10.796,0.02,10.569,0.071,9.255,THA(68);BPMG(29),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0228+1639,02284243+1639329,,022842.772+163927.890,,02 28 42.436,+16 39 33.00,37.176817,16.659166,L0:,Opt,,,,,,,,,(None),,,397.6,11.7,-410.5,14.4,,,21.535,0.02,19.758,0.021,17.345,0.002,15.908,0.01,14.989,0.005,13.166,0.026,12.325,0.03,11.818,0.023,,,X,,,D,X,,1,1,,,,,,,,022842.72+163928.6,,,,,11.539,0.023,11.302,0.023,11.413,0.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0228-6325,02284355-6325052,,,,02 28 43.559,-63 25 05.28,37.181496,-63.418133,L1,Opt,,,,,,,,,(None),,,636.19,261.28,-25.55,246.72,,,,,,,,,,,,,13.556,0.028,12.747,0.023,12.248,0.025,,,X,,,,X,,1,,,,,,,,,022844.41-632500.8,,,,,11.932,0.023,11.731,0.02,11.194,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0229-0053,02292794-0053282,022927.97-005329.0,022927.969+005328.570,,02 29 27.949,-00 53 28.27,37.366455,-0.891185,L0 (gamma),NIR,,,5.5,0.5,,,,,(None),,,17.4,19.6,-35.1,17.3,23.329,0.695,23.034,0.77,21.04,0.269,21.315,0.039,19.825,0.018,18.75,0.028,16.49,0.1,15.746,0.1,15.182,0.138,,,X,,1,D,,,0,,,,,,,,,J022927.96-005328.8,Young,,,,14.688,0.03,14.339,0.045,12.658,,8.858,Young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0230+2704,02301551+2704061,023015.61+270406.0,023015.695+270405.886,,02 30 15.512,+27 04 06.18,37.564632,27.068384,L0:,Opt,,,,,,,,,Hyades,,,188.97,2.803,-21.718,2.794,25.164,1.015,23.352,0.247,20.997,0.031,18.586,0.007,17.134,0.007,16.155,0.006,14.294,0.027,13.478,0.029,12.986,0.023,,,X,,,D,X,,0,,,,,,,,,J023015.68+270405.9,,,,25,12.665,0.024,12.389,0.024,11.981,0.335,8.787,Hyades,18.819,,,,,,,,,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0230-0225,02303865-0225546,023038.88-022554.1,023038.942-022553.833,WISE J023038.90-022554.0,02 30 38.914,-02 25 54.02,37.6621432,-2.4316727,L8:p,NIR,,,,,,,,,Hyades,,,329,16.8,51.3,14.9,24.308,1.013,25.158,0.563,25.093,0.701,23.138,0.435,20.3,0.032,19.139,0.034,16.682,0.113,15.724,0.107,14.928,0.111,,,,NIR,1,D,,1,0,1,,,,,,,,J023038.91-022554.0,Peculiar Spectrum,,,68,14.256,0.026,13.652,0.034,11.824,0.215,9.097,Hyades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0230-3027,02304442-3027275,,023044.548-302728.484,,02 30 44.583,-30 27 28.64,37.6857637,-30.4579563,L1,NIR,,,,,,,,,(None),,,132.8,12.9,-56.6,17.3,,,,,,,20.236,0.032,18.763,0.015,17.797,0.057,15.822,0.077,15.21,0.078,14.886,0.107,,,X,,,W,X,,0,,02304442-3027275,0.65049,2.55932,244.2,SpeX,spex-prism_2MASSJ02304442-3027275_20060901_KIR10A.txt,,J023044.53-302728.2,,,,,14.301,0.027,14.005,0.036,12.865,0.5,8.772,,20.504,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J0230-0953,02304498-0953050,,023045.119-095305.654,DENIS J02304500-0953050,02 30 45.155,-09 53 05.93,37.6881442,-9.8849798,L0,Opt,,,,,,,,,(None),30.86,3.52,141.2,12.3,-46.3,10.2,,,,,21.555,0.122,19.155,0.011,17.728,0.007,16.749,0.007,14.818,0.032,13.912,0.034,13.403,0.037,,,X,,,D,X,,0,,,,,,,,,J023045.10-095305.7,,,,,12.968,0.024,12.704,0.026,11.805,0.196,9.109,,19.355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0231+2811,,,023119.803+281143.878,,02 31 19.800,+28 11 43.04,37.8324982,28.1952895,M9,Opt,,,,,,,,,(None),,,,,,,,,,,21.325,0.023,18.809,0.01,17.324,0.005,16.421,0.011,,,,,,,,,,,,D,,,0,,,,,,,,,J023119.81+281144.4,,,,,13.366,0.025,13.011,0.028,12.441,0.451,9.024,,19.092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0233-6403,02330145-6403420,,,,02 33 01.459,-64 03 42.09,38.256081,-64.061691,L2,Opt,,,,,,,,,(None),,,68.7,6.1,75.6,17.6,,,,,,,,,,,,,16.304,0.126,15.588,0.117,14.67,0.117,,,X,,,,,,0,,,,,,,,,J023301.58-640341.3,,,,,14.594,0.027,14.382,0.038,12.882,,9.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
