Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,r_SpT,Peculiarities,r_Peculiarities,Member,Quality,r_Member,LACEwING,LACEwING probability,D_Trig,e_D_Trig,r_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,HRV,e_HRV,r_RV,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,e_WISE_W4,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,IRAC3p6,e_IRAC3p6,r_IRAC3p6,IRAC4p5,e_IRAC4p5,r_IRAC4p5,IRAC5p8,e_IRAC5p8,r_IRAC5p8,IRAC8,e_IRAC8,r_IRAC8,MKO_Y,e_MKO_Y,r_MKO_Y,J,e_J,H,e_H,K,e_K,JHKRef,MKO_J,e_MKO_J,MKO_H,e_MKO_H,MKO_K,e_MKO_K,MKORef,MKO_L,e_MKO_L,r_MKO_L,Variable,e_Variable,r_Variable,Variable_period,e_Variable_period,r_Variable_period,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Q/I,e_Q/I,U/I,e_U/I,Polarization Ref,InDwarfArchive,Comments,L-T Transition,Young,Variable%,Polarization,Priority,Declination,Visible,Varflag,Polflag,Ltflag,Jflag,Ranking,Star,Min,Max,R,Instrument,Source,Filename,Filename2,Sp Note
J0006+1406,00063258+1406064,000632.67+140606.6,000632.60+140606.4,,West2008,00 06 32.60,+14 06 06.4,1.635833,14.101778,L0,Opt,West2008,Galactic Extinction > 0.2 mag,West2008,,,,(None),,,,,92.5,12.4,18.5,13.4,GagneBDs,25.1,4.1,West2008;Schmidt2010,14.278,0.032,14.088,0.052,>12.059,,,,23.59,0.65,24.11,0.51,22.72,0.18,20.12,0.03,18.3,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0006+1512,00064683+1512260,000646.77+151225.6,000646.81+151225.8,,Zhang2010,00 06 46.81,+15 12 25.8,1.695042,15.207167,L4::,Opt,Zhang2010,,,,,,(None),,,,,-65.1,12.1,-32.7,12.6,GagneBDs,,,,14.114,0.03,13.928,0.047,>12.563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.221,0.091,15.247,0.076,14.811,0.122,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0006-0852,00064916-0852457,000649.11-085249.3,000649.16-085246.3,,West2008,00 06 49.00,-08 52 46.0,1.704167,-8.879444,M9,Opt,West2008,Binary,Burgasser2012,,,,(None),,,,,-63.4,10.9,-315.3,12.2,GagneBDs,8.3,5,West2008,12.728,0.024,12.346,0.027,11.562,0.206,,,22.47,0.44,23.01,0.2,21.04,0.06,18.22,0.02,16.46,0.02,,,,,,,,,,,,,,,,14.143,0.028,13.551,0.027,13.132,0.038,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0006-6436,00065794-6436542,000658.07-643654.8,,,Mart’n2010 ; Tinney2010,00 06 57.94,-64 36 54.2,1.741417,-64.615056,L0,Opt,Tinney2010,Young,Tinney2010,THA,Candidate,Gagne2014a,Tuc-Hor,78,,,,83.3,3.6,-65.1,10.2,GagneBDs,,,,11.715,0.022,11.393,0.023,11.043,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.385,0.023,12.664,0.029,12.169,0.032,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Tuc-Hor,,,1,,X,,,,1,,00065794-6436542,0.88971889,2.4683926,1146.2,FLAMINGOS-2,Montreal,J00065794-6436542.txt,,
J0007+0112,,,,ULAS J000734.90+011247.1,Burningham2013,00 07 34.90,+01 12 47.5,1.895417,1.213186,T7,NIR,Burningham2013,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.22,0.07,Burningham2013,,,,,,,,18.05,0.04,,,,,Burningham2013,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0008-1739,,000849.75-173922.9,,WISEPC J000849.76-173922.6,Kirkpatrick2011,00 08 49.76,-17 39 22.6,2.207333,-17.656278,T6,NIR,Kirkpatrick2011,,,,,,(None),,,,,,,,,,,,,16.593,0.114,14.543,0.072,>12.235,,8.928,0.381,,,,,,,,,,,16.044,0.03,Kirkpatrick2011,14.867,0.021,Kirkpatrick2011,,,,,,,,,,17.03,0.06,17.77,0.13,>17.0,,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J0010-2031,00100009-2031122,001000.17-203111.9,,,Cruz2007,00 10 00.09,-20 31 12.2,2.500376,-20.520056,L0,Opt,Cruz2007,,,,,,(None),,,,,117.55,19.3,30.4,17.32,Jameson2008,,,,12.505,0.025,12.278,0.026,12.075,0.287,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.134,0.021,13.368,0.028,12.882,0.029,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J0010+0100,,,,ULAS J001041+010013,Day-Jones2013,00 10 41.00,+01 00 13.0,2.670833,1.003611,L1,NIR,Day-Jones2013,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0013+0634,,001354.39+063448.2,,WISE J001354.39+063448.2,Pinfield2013,00 13 54.41,+06 34 48.1,3.476701,6.580036,T8,NIR,Pinfield2013,,,,,,(None),,,,,1170,90,-540,90,Pinfield2013,,,,,,,,,,,,,,,,,,,,,,17.15,0.03,Pinfield2013,15.16,0.03,Pinfield2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0013-2235,00135779-2235200,001357.83-223520.9,,2MASSI J0013578-223520,Kendall2003,00 13 57.79,-22 35 20.0,3.490791,-22.588889,L4,Opt,Kendall2003,,,,,,(None),,,,,45.2,10.1,-69.1,10.6,GagneBDs,,,,13.293,0.026,13.017,0.033,>12.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.775,0.064,14.595,0.062,14.036,0.05,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,W,X,,,,,0,,,,,,,,,
J0014-0838,00144919-0838207,001450.14-083823.1,,WISEA J001450.17-083823.4,Kirkpatrick2014,00 14 50.18,-08 38 23.4,3.709078,-8.639835,L0 sd,Opt,Kirkpatrick2014,Subdwarf,Luhman2014a,,,,(None),,,,,1460,13.1,-247.5,13.1,GagneBDs,,,,13.41,0.025,13.165,0.034,>12.215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.469,0.026,13.95,0.026,13.769,0.044,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0014-4844,00145575-4844171,001456.68-484413.8,,,Kirkpatrick2008,00 14 55.75,-48 44 17.1,3.732291,-48.738083,L2.5 p,Opt,Kirkpatrick2008,Peculiar Spectrum,Kirkpatrick2008,,,,(None),,,,,864.7,5.7,311.2,11.5,GagneBDs,,,,12.244,0.024,11.994,0.023,11.445,0.136,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.05,0.033,13.107,0.035,12.723,0.028,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,
J0015+2959,00150206+2959323,001502.37+295930.1,,,Kirkpatrick2010,00 15 02.06,+29 59 32.3,3.758583,29.992306,L7.5 p(blue),NIR,Kirkpatrick2010,Blue,Kirkpatrick2010,,,,(None),,,,,382,10.8,-203.6,12.8,GagneBDs,-71,50,Kirkpatrick2010,13.691,0.026,13.384,0.035,11.707,0.197,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.158,0.08,15.226,0.084,14.482,0.072,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,00150206+2959323,0.650787,2.5627,244.6,SpeX Prism,SpeX,spex-prism_2MASSJ00150206+2959323_20051018_KIR10A.txt,,
J0015+3516,00154476+3516026,001544.81+351600.0,,2MASSW J0015447+351603,Kirkpatrick2000,00 15 44.76,+35 16 02.6,3.9365,35.267389,L2,Opt,Kirkpatrick2000,,,,,,(None),,,,,83.15,16.92,-245.66,14.56,Jameson2008,-37.3,0.2,Blake2010,11.775,0.023,11.534,0.021,11.032,0.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.878,0.028,12.892,0.035,12.264,0.022,2MASS,,,,,,,,,,,,,,,,,I,0.065,0.032,,,,,,Menard2002,X,,,,,P,,D,X,,2,,1,3,,,,,,,,,
J0016-0043,00160844-0043021,001608.54-004302.3,001608.44-004302.3,,Knapp2004,00 16 08.43,-00 43 02.1,4.035125,-0.717247,L5.5,NIR,Knapp2004,,,,,,(None),,,,,135.5,13.5,-16.8,17.3,GagneBDs,,,,13.837,0.028,13.343,0.036,12.392,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.326,0.116,15.229,0.112,14.541,0.089,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,0016-00,1.39063,2.50304,897.5,,Leggett,L5.5_SDSS0016-00.txt,,
J0016-1039,00163762-1039106,001637.52-103912.9,001637.62-103911.2,,West2008,00 16 37.62,-10 39 11.2,4.156735,-10.6531,L0,Opt,West2008,,,,,,(None),,,,,-120.7,14.6,-198,14.4,GagneBDs,-1.6,24.8,Schmidt2010;West2008,14.144,0.031,13.867,0.048,>11.962,,,,25.48,1.21,25.5,0.71,22.64,0.24,19.73,0.03,17.77,0.02,,,,,,,,,,,,,,,,15.455,0.05,14.78,0.069,14.533,0.095,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0016-4056,00165953-4056541,001659.72-405653.6,,,Kirkpatrick2008,00 16 59.53,-40 56 54.1,4.248042,-40.948361,L3.5,Opt,Kirkpatrick2008,,,,,,(None),,,,,204.9,6.8,44,9.5,GagneBDs,,,,12.808,0.024,12.437,0.023,12.814,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.316,0.06,14.206,0.047,13.432,0.037,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,00165953-4056541,0.647657,2.55557,243.6,SpeX Prism,SpeX,spex-prism_2MASSJ00165953-4056541_20080907_BUR10A.txt,,
J0018-6703,00182834-6703130,,,,,00 18 28.34,-67 03 13.0,4.618083,-67.053611,L0 gamma,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,Tuc-Hor,42,,,,66,4,-52.3,12.6,Faherty2016,,,,13.171,0.025,12.768,0.026,12.763,0.445,9.046,,,,,,,,,,,,,,,,,,,,,,,,,,,15.457,0.057,14.48,0.061,13.711,0.039,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,,,1,,X,,,,,,00182834-6703130,0.89201856,2.4639432,1155.8,FLAMINGOS-2,Montreal,J00182834-6703130.txt,,
J0018-0025,,,,ULAS J001837-002559,Day-Jones2013,00 18 37.00,-00 25 59.0,4.654167,-0.433056,L9,NIR,Day-Jones2013,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J0018-6356,00184613-6356122,001846.59-635615.7,,,Reid2008,00 18 46.14,-63 56 12.3,4.692249,-63.936741,L2,Opt,Reid2008,,,,,,(None),,,,,310,4.5,-367.3,11.9,GagneBDs,,,,13.264,0.025,13.004,0.027,12.538,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.224,0.042,14.229,0.044,13.611,0.041,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,X,,,,,,,,,,,,,,
J0019+0030,00191165+0030176,001911.62+003017.3,001911.65+003017.8,,Hawley2002,00 19 11.65,+00 30 17.6,4.798542,0.504889,L1,Opt,Hawley2002,,,,,,(None),,,,,-28.78,15.24,-25.02,15.11,Jameson2008,-4.5,15.3,Schmidt2010,13.235,0.026,12.949,0.03,12.193,0.366,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.921,0.035,14.18,0.04,13.568,0.033,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J0019-6226,00191296-6226005,,,,,00 19 12.96,-62 26 00.5,4.804,-62.433472,L1 gamma,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,Tuc-Hor,Likely Member,Faherty2016,(None),,,,,54.1,4.7,-34.5,12.1,Faherty2016,,,,13.351,0.025,12.883,0.026,12.378,0.262,9.114,,,,,,,,,,,,,,,,,,,,,,,,,,,15.64,0.06,14.618,0.054,13.957,0.051,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,,,1,,X,,,,,,00191296-6226005,0.89265674,2.4674962,1138.7,FLAMINGOS-2,Montreal,J00191296-6226005.txt,,
J0019+4614,00192626+4614078,,,,,00 19 26.26,+46 14 07.8,4.859417,46.2355,M8 beta,NIR,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,AB Dor,Likely Member,Faherty2016,AB Dor,71,,,,140,60,-100,50,Faherty2016,-19.5,2,Faherty2016,11.26,0.023,11.001,0.02,10.857,0.07,9.401,,,,,,,,,,,,,,,,,,,,,,,,,,,12.603,0.017,11.94,0.021,11.502,0.011,2MASS,,,,,,,,,,,,,,,,,J,0.38,0.15,,,,,,Miles-Paez2013,,,,AB Dor,,P,1,D,X,,2,,1,3,00192626+4614078,0.809114,2.42226,1792.4,SPeX,Montreal,J001926264614078.txt,,
J0019+4018,00193275+4018576,001932.66+401855.2,,NLTT 1011 B,Deacon2014,00 19 32.76,+40 18 57.6,4.886494,40.316006,L2,NIR,Deacon2014,Companion,Deacon2014,,,,(None),,,,,-97.1,8,-203.7,11.4,GagneBDs,,,,13.762,0.026,13.414,0.032,>12.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.544,0.057,14.928,0.068,14.318,0.065,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0019-3724,00193927-3724392,001939.43-372438.9,,,Burgasser2010,00 19 39.27,-37 24 39.2,4.913625,-37.410889,L3:,Opt,Burgasser2010,,,,,,(None),,,,,166,7.9,25,9.9,GagneBDs,,,,13.144,0.023,12.8,0.027,12.629,0.429,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.519,0.059,14.47,0.039,13.689,0.057,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,X,,,,,0,00193927-3724392,0.656393,2.56732,245.5,SpeX Prism,SpeX,spex-prism_2MASSJ00193927-3724392_20030904_BUR10A.txt,,
J0021-4244,00210589-4244433,002106.13-424443.3,,LEHPM 1-494 B ; DENIS-P J0021.0-4244 ; Koenigstuhl 1 B,Basri2000,00 21 05.89,-42 44 43.3,5.274542,-42.745361,M9.5,Opt,Basri2000,Companion,Caballero2007,,,,Tuc-Hor,26,25.14,1.33,Dieterich2014,248.4,6.4,0.7,9.2,GagneBDs,3.7,0.4,Guenther2003;Galvez_Ortiz2010,11.898,0.024,11.599,0.022,11.27,0.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.521,0.022,12.809,0.023,12.304,0.023,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuc-Hor,,,,,X,,,,1,,00210589-4244433,0.807979,2.42251,1555.1,SPeX,Montreal,J00210589-4244433.txt,,
J0021+0026,00213884+0026058,002138.92+002605.2,002138.86+002605.8,,Scholz2009,00 21 38.84,+00 26 05.8,5.411834,0.434944,L1.5,Opt,Scholz2009,,,,,,(None),,,,,161.32,11.77,-84.69,10.86,Scholz2009,,,,15.828,0.067,15.352,0.135,>12.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.953,0.157,>16.288,,16.08,0.235,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,,,,,,,,,
J0022-0110,00220932-0110399,002209.39-011039.3,00220934-0110397,,West2008,00 22 09.31,-01 10 40.2,5.538792,-1.17784,L0,Opt,West2008,,,,,,(None),,,,,117.5,18.4,67.8,19.3,GagneBDs,-30.3,41,Schmidt2010;West2008,14.329,0.031,14.029,0.058,12.358,0.437,,,25.59,0.88,24.13,0.6,22.63,0.19,19.76,0.04,18.01,0.03,,,,,,,,,,,,,,,,15.816,0.065,15.087,0.08,14.699,0.101,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0024+1347,,,,ULAS J002406+134705,Day-Jones2013,00 24 06.00,+13 47 05.0,6.025,13.784722,L3,NIR,Day-Jones2013,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0024+0022,,,,ULAS J002422.94+002247.9,Lodieu2007,00 24 22.94,+00 22 47.9,6.095583,0.379972,T4.5,NIR,Lodieu2007,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.59,0.15,Lodieu2007,,,,,,,,18.16,0.07,18.24,0.16,>,18.05,Lodieu2007,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J0024-0158,00242463-0158201,002424.58-015818.4,,BRI 0021-0214,Irwin1991,00 24 25.14,-01 58 16.6,6.10475,-1.971278,M9.5,Opt,Cruz2007,,,,,,(None),,11.55,0.53,Tinney1995,-80.4,3.83,132.75,5.81,Dupuy2012,,,,10.166,0.024,9.9,0.019,9.412,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.992,0.033,11.084,0.02,10.539,0.021,2MASS,,,,,,,,,,,,,,,,,I,0.18,0.17,,-0.03,0.12,0.17,0.11,Zapatero-Osorio2005,,,,,,P,,D,X,,2,,2,4,,,,,,,,,
J0025+4759,00250365+4759191,002504.03+475918.2,,2MUCD 13016,Cruz2007,00 25 03.65,+47 59 19.1,6.265208,47.988639,L4:,Opt,Cruz2007,Young(?) ; Binary,Cruz2007 ; Reid2006,,,,(None),,43.82,1.69,VanLeeuwen2007,311.81,39.01,-10.89,43.56,Cruz2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.84,0.036,13.667,0.03,12.902,0.056,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,Binary: a=0.33'' @ -126.9 deg (Reid et al. 2006). This object shares a common proper motion with HD 2057; which is 3.6' away. (Cruz et al. 2007),,,,,,D,X,,,,,0,,,,,,,,,
J0026-0943,00261147-0943406,002611.29-094342.3,002611.45-094341.1,,Schmidt2010,00 26 11.45,-09 43 41.1,6.547709,-9.728083,L1,Opt,Schmidt2010,,,,,,(None),,,,,-218.4,13.2,-143.2,14.4,GagneBDs,-20.7,3.1,Schmidt2010,14.026,0.03,13.832,0.053,>11.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.601,0.067,14.999,0.081,14.379,0.073,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J0027+0503,00274197+0503417,,,,,00 27 41.97,+05 03 41.7,6.924875,5.061583,M9.5 beta,Opt,Faherty2016,"Red, Low-gravity (Young?)",Faherty2016,,,,(None),,72.46376812,8.401596303,Faherty2016,10.5,0.4,-0.8,0.3,Faherty2016,,,,14.619,0.036,14.135,0.054,12.239,,8.89,,,,,,,,,,,,,,,,,,,,,,,,,,,16.189,0.092,15.288,0.099,14.96,0.115,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Red, low-gravity",,,1,D,,,,,,0,,,,,,,,,
